mots actifs eligibles,,,,,,,,,
1 mai 2023 - 31 mai 2023,,,,,,,,,
Mot clé pour le Réseau de Recherche,Code de la devise,Éligible_Conversions,Éligible_Coût/conv.,Éligible_Taux de conv.,Éligible_Clics,Éligible_Impr.,Éligible_Coût,Éligible_CTR,Éligible_CPC moy.
+abonnement +magazine +télé,EUR,0,--,0%,10,71,"4,34","14,08%","0,43"
+abonnement +magazine +tv,EUR,"0,02","832,84","0,05%",28,251,"12,77","11,16%","0,46"
+abonnement +programme +tele,EUR,0,--,0%,1,18,"0,25","5,56%","0,25"
+abonnement +programme +tv,EUR,0,--,0%,13,59,"7,16","22,03%","0,55"
+fae +abonnement,EUR,"11,1","6,95","3,89%",285,451,"77,19","63,19%","0,27"
+fae +reduction,EUR,0,--,0%,2,2,"0,68",100%,"0,34"
+kiosque +abonnement,EUR,0,--,0%,0,30,0,0%,--
+magazine +programme +tv,EUR,0,--,0%,15,306,"7,36","4,9%","0,49"
+magazine +tv +abonnement,EUR,0,--,0%,3,30,"1,8",10%,"0,6"
+programme +tv +abonnement,EUR,0,--,0%,3,22,"1,19","13,64%","0,4"
abo lepoint,EUR,0,--,0%,1,31,"0,27","3,23%","0,27"
abonement enfant,EUR,0,--,0%,0,2,0,0%,--
abonnement 01 net,EUR,0,--,0%,5,46,"1,29","10,87%","0,26"
abonnement 01net,EUR,0,--,0%,5,73,"2,4","6,85%","0,48"
abonnement 01net pas cher,EUR,0,--,0%,2,7,"2,32","28,57%","1,16"
abonnement actualité,EUR,0,--,0%,22,280,"4,79","7,86%","0,22"
abonnement adl partner,EUR,0,--,0%,1,32,"0,42","3,13%","0,42"
abonnement ado,EUR,0,--,0%,5,54,"2,65","9,26%","0,53"
abonnement adolescent,EUR,0,--,0%,2,22,"1,07","9,09%","0,54"
abonnement auto moto,EUR,2,"7,51","7,41%",27,129,"15,01","20,93%","0,56"
abonnement auto moto pas cher,EUR,0,--,0%,0,20,0,0%,--
abonnement bd enfant,EUR,0,--,0%,0,2,0,0%,--
abonnement bd jeunesse,EUR,0,--,0%,4,28,"1,66","14,29%","0,42"
abonnement beaux arts magazine,EUR,0,--,0%,6,98,"3,72","6,12%","0,62"
abonnement biba,EUR,"0,5","33,02","2,27%",22,133,"16,51","16,54%","0,75"
abonnement box ado,EUR,0,--,0%,0,0,0,0%,--
abonnement box enfant,EUR,0,--,0%,1,5,"0,12",20%,"0,12"
abonnement cheval magazine,EUR,1,"15,99",4%,25,106,"15,99","23,58%","0,64"
abonnement ciel et espace,EUR,2,"19,14","4,08%",49,191,"38,28","25,65%","0,78"
abonnement elle a table,EUR,0,--,0%,0,15,0,0%,--
abonnement elle decoration,EUR,"2,51","3,87","16,77%",15,92,"9,74","16,3%","0,65"
abonnement enfance,EUR,0,--,0%,4,78,"2,63","5,13%","0,66"
abonnement enfant,EUR,0,--,0%,3,71,"1,7","4,23%","0,57"
abonnement enfant magazine,EUR,0,--,0%,2,61,"1,57","3,28%","0,79"
abonnement enfants,EUR,0,--,0%,5,53,"2,3","9,43%","0,46"
abonnement esprit yoga,EUR,"0,99","5,53","7,06%",14,53,"5,46","26,42%","0,39"
abonnement express,EUR,0,--,0%,10,124,"7,38","8,06%","0,74"
abonnement fae,EUR,0,--,0%,0,0,0,0%,--
abonnement fae,EUR,"0,83","6,14","5,16%",16,35,"5,07","45,71%","0,32"
abonnement feminin,EUR,0,--,0%,11,78,"5,07","14,1%","0,46"
abonnement france abonnement,EUR,0,--,0%,14,30,"7,89","46,67%","0,56"
abonnement france entreprise,EUR,0,--,0%,37,89,"26,79","41,57%","0,72"
abonnement genealogie,EUR,0,--,0%,0,9,0,0%,--
abonnement geo ado,EUR,0,--,0%,0,0,0,0%,--
abonnement géo ado,EUR,0,--,0%,0,8,0,0%,--
abonnement geo ado pas cher,EUR,0,--,0%,0,1,0,0%,--
abonnement golf magazine,EUR,0,--,0%,5,39,"3,46","12,82%","0,69"
abonnement grands reportages,EUR,0,--,0%,0,9,0,0%,--
abonnement happinez,EUR,"1,32","10,41","5,28%",25,80,"13,74","31,25%","0,55"
abonnement hebdomadaire enfant,EUR,0,--,0%,2,27,"0,46","7,41%","0,23"
abonnement home magazine,EUR,1,"4,91","14,29%",7,36,"4,91","19,44%","0,7"
abonnement jeunesse,EUR,0,--,0%,15,134,"5,6","11,19%","0,37"
abonnement journal ado,EUR,0,--,0%,0,0,0,0%,--
abonnement journal des enfants,EUR,0,--,0%,0,29,0,0%,--
abonnement journal enfant,EUR,0,--,0%,1,34,"0,59","2,94%","0,59"
abonnement journal feminin,EUR,0,--,0%,0,1,0,0%,--
abonnement junior,EUR,0,--,0%,10,70,"3,62","14,29%","0,36"
abonnement kiosque,EUR,0,--,0%,26,567,"8,39","4,59%","0,32"
abonnement kiosque fae,EUR,0,--,0%,10,26,"3,84","38,46%","0,38"
abonnement l ami des jardins pas cher,EUR,3,"5,08",12%,25,216,"15,24","11,57%","0,61"
abonnement l express,EUR,0,--,0%,10,120,"6,46","8,33%","0,65"
abonnement l express papier,EUR,0,--,0%,1,14,"0,85","7,14%","0,85"
abonnement l express pas cher,EUR,0,--,0%,9,47,"5,93","19,15%","0,66"
abonnement le cycle,EUR,"3,37","7,35","18,73%",18,75,"24,79",24%,"1,38"
abonnement le cycle pas cher,EUR,1,"2,6",50%,2,14,"2,6","14,29%","1,3"
abonnement le journal des enfants,EUR,0,--,0%,0,0,0,0%,--
abonnement le monde des ado,EUR,0,--,0%,1,3,"0,45","33,33%","0,45"
abonnement le monde des ados,EUR,0,--,0%,0,3,0,0%,--
abonnement le monde du camping car,EUR,0,--,0%,0,0,0,0%,--
abonnement le point,EUR,0,--,0%,0,1,0,0%,--
abonnement le point,EUR,0,--,0%,33,640,"23,99","5,16%","0,73"
abonnement le point pas cher,EUR,"0,37","7,88","5,31%",7,104,"2,93","6,73%","0,42"
abonnement lecture enfant,EUR,0,--,0%,0,22,0,0%,--
abonnement lecture enfants,EUR,0,--,0%,0,5,0,0%,--
abonnement lecture jeunesse,EUR,0,--,0%,0,15,0,0%,--
abonnement lepoint,EUR,0,--,0%,3,19,"0,65","15,79%","0,22"
abonnement livre ado,EUR,0,--,0%,2,30,"0,59","6,67%","0,3"
abonnement livre enfant,EUR,0,--,0%,2,64,"1,04","3,13%","0,52"
abonnement livre jeunesse,EUR,0,--,0%,7,33,"3,45","21,21%","0,49"
abonnement livré jeunesse,EUR,0,--,0%,0,0,0,0%,--
abonnement livre jeunesse ecole des loisirs,EUR,0,--,0%,0,1,0,0%,--
abonnement livre pour enfant,EUR,0,--,0%,1,22,"0,32","4,55%","0,32"
abonnement livre pour enfants,EUR,0,--,0%,1,35,"0,44","2,86%","0,44"
abonnement livres enfant,EUR,0,--,0%,0,2,0,0%,--
abonnement livres enfants,EUR,0,--,0%,6,81,"2,26","7,41%","0,38"
abonnement livres jeunesse,EUR,0,--,0%,5,54,"1,21","9,26%","0,24"
abonnement magazine actualité,EUR,"1,5","3,53","7,89%",19,211,"5,3",9%,"0,28"
abonnement magazine ado,EUR,0,--,0%,10,103,"3,61","9,71%","0,36"
abonnement magazine ado fille,EUR,0,--,0%,2,29,"0,55","6,9%","0,28"
abonnement magazine adolescent,EUR,0,--,0%,6,64,"2,56","9,38%","0,43"
abonnement magazine ados,EUR,0,--,0%,0,0,0,0%,--
abonnement magazine auto moto,EUR,0,--,0%,3,40,"2,18","7,5%","0,73"
abonnement magazine beaux arts,EUR,1,"7,1","12,5%",8,65,"7,1","12,31%","0,89"
abonnement magazine cheval,EUR,"0,18","35,66","0,99%",18,174,"6,37","10,34%","0,35"
abonnement magazine elle decoration,EUR,0,--,0%,1,8,"0,48","12,5%","0,48"
abonnement magazine enfance,EUR,0,--,0%,5,51,"2,14","9,8%","0,43"
abonnement magazine enfance pas cher,EUR,0,--,0%,0,0,0,0%,--
abonnement magazine enfant,EUR,0,--,0%,29,375,"18,17","7,73%","0,63"
abonnement magazine enfants,EUR,0,--,0%,3,39,"1,11","7,69%","0,37"
abonnement magazine feminin,EUR,0,--,0%,10,78,"7,88","12,82%","0,79"
abonnement magazine féminin,EUR,"0,92","34,71","1,59%",58,454,"31,98","12,78%","0,55"
